source,year,month,platform,item_head,targets,done_ltrs,achieved_pct,est_ltr
secondary,2025,8,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,8,Blinkit,COMMODITY,,19167.0,,19167.0
secondary,2025,8,Swiggy,COMMODITY,,30437.0,,30437.0
secondary,2025,8,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,8,BigBasket,COMMODITY,,5954.0,,6152.466666666666
secondary,2025,8,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,8,Flipkart,COMMODITY,,6726.0,,6950.2
secondary,2025,8,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,9,Amazon,PREMIUM,,95766.75,,95766.75
secondary,2025,9,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,9,Blinkit,PREMIUM,,39256.0,,39256.0
secondary,2025,9,Swiggy,PREMIUM,,33411.0,,33411.0
secondary,2025,9,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,9,BigBasket,PREMIUM,,3217.0,,3217.0
secondary,2025,9,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,9,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,9,Flipkart,PREMIUM,,45791.5,,45791.5
secondary,2025,9,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,9,Amazon,COMMODITY,,127376.0,,127376.0
secondary,2025,9,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,9,Blinkit,COMMODITY,,18186.0,,18186.0
secondary,2025,9,Swiggy,COMMODITY,,73695.0,,73695.0
secondary,2025,9,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,9,BigBasket,COMMODITY,,5274.0,,5274.0
secondary,2025,9,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,9,Flipkart,COMMODITY,,15236.0,,15236.0
secondary,2025,9,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,10,Amazon,PREMIUM,,89517.75,,89517.75
secondary,2025,10,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,10,Blinkit,PREMIUM,,39512.0,,39512.0
secondary,2025,10,Swiggy,PREMIUM,,33313.25,,33313.25
secondary,2025,10,Zepto,PREMIUM,,6492.5,,6492.5
secondary,2025,10,BigBasket,PREMIUM,,3317.0,,3317.0
secondary,2025,10,Zomato,PREMIUM,,13769.0,,14227.966666666667
secondary,2025,10,CityMall,PREMIUM,,816.0,,903.4285714285714
secondary,2025,10,Flipkart,PREMIUM,,25136.5,,25136.5
secondary,2025,10,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,10,Amazon,COMMODITY,,144515.0,,144515.0
secondary,2025,10,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,10,Blinkit,COMMODITY,,26506.0,,26506.0
